High,Low,Open,Close,Volume,Adj Close
LINX3.SA,LINX3.SA,LINX3.SA,LINX3.SA,LINX3.SA,LINX3.SA
21.75,21.219999313354492,21.549999237060547,21.43000030517578,976000.0,21.097639083862305
21.780000686645508,21.270000457763672,21.520000457763672,21.299999237060547,859700.0,20.969655990600586
22.190000534057617,21.270000457763672,21.270000457763672,21.700000762939453,1284200.0,21.363452911376953
22.049999237060547,21.649999618530273,21.989999771118164,21.940000534057617,424300.0,21.5997314453125
22.15999984741211,21.600000381469727,21.84000015258789,21.8799991607666,527300.0,21.540660858154297
22.1299991607666,21.809999465942383,21.84000015258789,22.0,479400.0,21.65880012512207
22.489999771118164,21.90999984741211,22.049999237060547,21.979999542236328,247400.0,21.639108657836914
22.290000915527344,21.8799991607666,22.06999969482422,22.200000762939453,306300.0,21.85569953918457
22.469999313354492,22.020000457763672,22.31999969482422,22.200000762939453,931000.0,21.85569953918457
22.450000762939453,22.030000686645508,22.450000762939453,22.15999984741211,570500.0,21.81631851196289
22.3700008392334,21.739999771118164,22.100000381469727,22.25,849300.0,21.90492057800293
22.450000762939453,21.850000381469727,22.360000610351562,22.09000015258789,609200.0,21.747406005859375
22.290000915527344,21.950000762939453,22.110000610351562,22.200000762939453,2220200.0,21.85569953918457
22.5,22.1299991607666,22.299999237060547,22.350000381469727,502100.0,22.003372192382812
22.559999465942383,22.110000610351562,22.459999084472656,22.290000915527344,515900.0,21.944305419921875
22.15999984741211,21.549999237060547,22.1200008392334,21.75,399100.0,21.412675857543945
22.360000610351562,21.81999969482422,22.049999237060547,22.290000915527344,652900.0,21.944305419921875
22.290000915527344,22.290000915527344,22.290000915527344,22.290000915527344,0.0,21.944305419921875
22.579999923706055,22.209999084472656,22.56999969482422,22.34000015258789,1149700.0,21.9935245513916
22.639999389648438,21.450000762939453,22.25,21.540000915527344,1043400.0,21.205934524536133
21.610000610351562,21.06999969482422,21.579999923706055,21.15999984741211,508900.0,20.831825256347656
21.489999771118164,20.969999313354492,21.34000015258789,21.200000762939453,302200.0,20.871206283569336
21.350000381469727,20.850000381469727,21.020000457763672,20.899999618530273,909600.0,20.57585906982422
20.920000076293945,20.030000686645508,20.920000076293945,20.5,1672900.0,20.18206214904785
20.75,20.09000015258789,20.6200008392334,20.3799991607666,601600.0,20.063922882080078
20.3799991607666,19.440000534057617,20.1299991607666,19.5,1153100.0,19.197572708129883
19.8799991607666,19.190000534057617,19.489999771118164,19.600000381469727,2095500.0,19.2960205078125
19.969999313354492,19.059999465942383,19.75,19.540000915527344,1032400.0,19.23695182800293
19.56999969482422,18.68000030517578,19.56999969482422,18.799999237060547,1195100.0,18.5084285736084
19.40999984741211,18.899999618530273,18.899999618530273,19.40999984741211,1116400.0,19.108966827392578
19.450000762939453,19.1299991607666,19.40999984741211,19.450000762939453,714700.0,19.148347854614258
19.520000457763672,19.149999618530273,19.34000015258789,19.479999542236328,613600.0,19.177881240844727
19.5,18.950000762939453,19.479999542236328,19.5,348100.0,19.197572708129883
20.34000015258789,19.239999771118164,19.5,20.149999618530273,2813000.0,19.837491989135742
20.139999389648438,19.600000381469727,20.139999389648438,19.90999984741211,794900.0,19.601215362548828
20.020000457763672,19.700000762939453,20.020000457763672,19.84000015258789,1088100.0,19.53230094909668
20.09000015258789,19.68000030517578,19.780000686645508,19.889999389648438,872800.0,19.58152198791504
20.079999923706055,19.5,19.899999618530273,19.600000381469727,817100.0,19.2960205078125
19.8799991607666,19.209999084472656,19.469999313354492,19.3700008392334,855600.0,19.069589614868164
19.6200008392334,18.979999542236328,19.399999618530273,18.979999542236328,4214600.0,18.685636520385742
19.579999923706055,18.860000610351562,19.079999923706055,19.15999984741211,792800.0,18.86284637451172
19.389999389648438,19.010000228881836,19.170000076293945,19.329999923706055,505600.0,19.030208587646484
19.3700008392334,19.06999969482422,19.350000381469727,19.100000381469727,265900.0,18.803775787353516
19.290000915527344,18.790000915527344,19.239999771118164,19.219999313354492,699500.0,18.921913146972656
19.31999969482422,18.809999465942383,19.200000762939453,19.299999237060547,749900.0,19.000673294067383
19.530000686645508,19.09000015258789,19.350000381469727,19.1299991607666,684600.0,18.833309173583984
19.600000381469727,19.100000381469727,19.100000381469727,19.350000381469727,608300.0,19.04990005493164
19.700000762939453,19.239999771118164,19.530000686645508,19.649999618530273,380200.0,19.345243453979492
19.559999465942383,19.110000610351562,19.540000915527344,19.3799991607666,405800.0,19.07943344116211
19.530000686645508,19.239999771118164,19.3799991607666,19.299999237060547,289000.0,19.000673294067383
19.6299991607666,19.25,19.329999923706055,19.59000015258789,333800.0,19.286174774169922
19.639999389648438,19.329999923706055,19.59000015258789,19.5,472600.0,19.197572708129883
20.139999389648438,19.420000076293945,19.59000015258789,20.020000457763672,627500.0,19.70950698852539
20.09000015258789,19.719999313354492,20.020000457763672,19.780000686645508,721700.0,19.47322654724121
19.940000534057617,19.520000457763672,19.780000686645508,19.540000915527344,275600.0,19.23695182800293
20.25,19.450000762939453,19.450000762939453,20.219999313354492,2057800.0,19.906404495239258
20.549999237060547,20.260000228881836,20.270000457763672,20.399999618530273,433000.0,20.0836124420166
20.670000076293945,19.90999984741211,20.670000076293945,20.530000686645508,311500.0,20.211597442626953
20.6299991607666,20.0,20.59000015258789,20.040000915527344,389200.0,19.729198455810547
20.290000915527344,19.65999984741211,20.200000762939453,20.100000381469727,693000.0,19.788267135620117
20.579999923706055,19.850000381469727,20.200000762939453,20.239999771118164,591400.0,19.92609405517578
20.459999084472656,19.780000686645508,20.209999084472656,20.0,324800.0,19.689815521240234
